 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version 1.3.1,This spreadsheet facilitates automatic tracking of when biomass samples are dry.  Created by Andrew Cunliffe (andrewmcunliffe@gmail.com),,,,,,,,,,,,,,,,,,,,,,,,,,
"Please duplicate this spreadsheet for your use, and include it in your data submission",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enter values into yellow boxes only: (i) Investigator name, (ii) harvest site name, (iii) harvest date (YYYY-MM-DD), (iv) drying temperature, (iv) date / time [yyyy-mm-dd hh:mm], and (v) mass [g]. The Dry weight field should auto-populate once the drying conditions are met.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Investigator Name:,Alan Nare,,,,,Parameters Defining 'Dryness',,,,,,,,,,,,,,,,,,,
S2P17,Schmidtia kalihariensis,18.54,Yes,No,Probably,48:00:00,04/04/2024 22:00,18.54,05/04/2024 22:00,18.56,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P17,Stipagrostis uniplumis,0.3,Yes,No,Probably,72:00:00,04/04/2024 22:00,0.3,05/04/2024 22:00,0.32,06/04/2024 22:00,0.3,07/04/2024 22:00,,,,,,,,,,,,,,
S2P17,Tribulus terrestris,1.02,Yes,No,Probably,96:00:00,04/04/2024 22:00,1.52,05/04/2024 22:00,1.04,06/04/2024 22:00,1.02,07/04/2024 22:00,1.02,08/04/2024 22:00,,,,,,,,,,,,
S2P17,Beans,1.69,Yes,No,Probably,48:00:00,04/04/2024 22:00,1.69,05/04/2024 22:00,1.69,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P17,White satan,0.62,Yes,No,Probably,96:00:00,04/04/2024 22:00,0.72,05/04/2024 22:00,0.63,06/04/2024 22:00,0.62,07/04/2024 22:00,0.62,08/04/2024 22:00,,,,,,,,,,,,
S2P18,Schmidtia kalihariensis,6.36,Yes,No,Probably,96:00:00,04/04/2024 22:00,6.72,05/04/2024 22:00,6.49,06/04/2024 22:00,6.37,07/04/2024 22:00,6.36,08/04/2024 22:00,,,,,,,,,,,,
S2P18,Stipagrostis uniplumis,34.48,Yes,No,Probably,72:00:00,04/04/2024 22:00,34.62,05/04/2024 22:00,35.01,06/04/2024 22:00,34.48,07/04/2024 22:00,,,,,,,,,,,,,,
S2P18,Beans,1,Yes,No,Probably,96:00:00,04/04/2024 22:00,1.06,05/04/2024 22:00,1.15,06/04/2024 22:00,1.01,07/04/2024 22:00,1,08/04/2024 22:00,,,,,,,,,,,,
S2P19,Schmidtia kalihariensis,23.13,Yes,No,Probably,48:00:00,04/04/2024 22:00,23.13,05/04/2024 22:00,23.16,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P19,Beans,0.53,Yes,No,Probably,96:00:00,04/04/2024 22:00,0.61,05/04/2024 22:00,0.57,06/04/2024 22:00,0.53,07/04/2024 22:00,0.53,08/04/2024 22:00,,,,,,,,,,,,
S2P20,Stipagrostis uniplumis,250.63,Yes,No,Probably,48:00:00,04/04/2024 22:00,250.63,05/04/2024 22:00,251.02,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P21,Schmidtia kalihariensis,3.37,Yes,No,Probably,48:00:00,04/04/2024 22:00,3.39,05/04/2024 22:00,3.37,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P21,Stipagrostis uniplumis,157.52,Yes,No,Probably,48:00:00,04/04/2024 22:00,157.52,05/04/2024 22:00,157.52,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P21,Tribulus terrestris,2.18,Yes,No,Probably,96:00:00,04/04/2024 22:00,2.42,05/04/2024 22:00,2.36,06/04/2024 22:00,2.18,07/04/2024 22:00,2.18,08/04/2024 22:00,,,,,,,,,,,,
S2P22,Schmidtia kalihariensis,32.46,Yes,No,Probably,48:00:00,04/04/2024 22:00,32.46,05/04/2024 22:00,32.75,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P22,Tribulus terrestris,7.92,Yes,No,Probably,48:00:00,04/04/2024 22:00,7.93,05/04/2024 22:00,7.92,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P23,Schmidtia kalihariensis,3.58,Yes,No,Probably,48:00:00,04/04/2024 22:00,3.58,05/04/2024 22:00,3.58,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P23,Tribulus terrestris,28.57,Yes,No,Probably,48:00:00,04/04/2024 22:00,28.57,05/04/2024 22:00,28.84,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P23,Beans,2.47,Yes,No,Probably,72:00:00,04/04/2024 22:00,2.47,05/04/2024 22:00,2.55,06/04/2024 22:00,2.48,07/04/2024 22:00,,,,,,,,,,,,,,
S2P23,Forb,1.25,Yes,No,Probably,48:00:00,04/04/2024 22:00,1.25,05/04/2024 22:00,1.26,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P24,Schmidtia kalihariensis,7.52,Yes,No,Probably,72:00:00,04/04/2024 22:00,8.07,05/04/2024 22:00,7.53,06/04/2024 22:00,7.52,07/04/2024 22:00,,,,,,,,,,,,,,
S2P24,Tribulus terrestris,23.99,Yes,No,Probably,48:00:00,04/04/2024 22:00,24.16,05/04/2024 22:00,23.99,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P25,Schmidtia kalihariensis,12.87,Yes,No,Probably,48:00:00,04/04/2024 22:00,12.87,05/04/2024 22:00,12.98,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P25,Beans,0.68,Yes,No,Probably,96:00:00,04/04/2024 22:00,1.06,05/04/2024 22:00,0.71,06/04/2024 22:00,0.68,07/04/2024 22:00,0.68,08/04/2024 22:00,,,,,,,,,,,,
S2P26,Schmidtia kalihariensis,4.18,Yes,No,Probably,48:00:00,04/04/2024 22:00,4.18,05/04/2024 22:00,4.21,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P26,Tribulus terrestris,36.52,Yes,No,Probably,48:00:00,04/04/2024 22:00,36.58,05/04/2024 22:00,36.52,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P27,Schmidtia kalihariensis,3.73,Yes,No,Probably,96:00:00,04/04/2024 22:00,4.26,05/04/2024 22:00,4.15,06/04/2024 22:00,3.76,07/04/2024 22:00,3.73,08/04/2024 22:00,,,,,,,,,,,,
S2P27,Stipagrostis uniplumis,81.51,Yes,No,Probably,72:00:00,04/04/2024 22:00,81.51,05/04/2024 22:00,82.66,06/04/2024 22:00,81.7,07/04/2024 22:00,,,,,,,,,,,,,,
S2P27,Tribulus terrestris,1.94,Yes,No,Probably,96:00:00,04/04/2024 22:00,1.95,05/04/2024 22:00,2.25,06/04/2024 22:00,1.97,07/04/2024 22:00,1.94,08/04/2024 22:00,,,,,,,,,,,,
S2P28,Schmidtia kalihariensis,8.44,Yes,No,Probably,48:00:00,04/04/2024 22:00,8.48,05/04/2024 22:00,8.44,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P28,Stipagrostis uniplumis,32.46,Yes,No,Probably,48:00:00,04/04/2024 22:00,32.46,05/04/2024 22:00,32.56,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P29,Schmidtia kalihariensis,27.52,Yes,No,Probably,96:00:00,04/04/2024 22:00,28.26,05/04/2024 22:00,27.93,06/04/2024 22:00,27.52,07/04/2024 22:00,27.52,08/04/2024 22:00,,,,,,,,,,,,
S2P29,Tribulus terrestris,1.84,Yes,No,Probably,48:00:00,04/04/2024 22:00,1.85,05/04/2024 22:00,1.84,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P30,Schmidtia kalihariensis,8.55,Yes,No,Probably,48:00:00,04/04/2024 22:00,8.55,05/04/2024 22:00,8.63,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P30,Stipagrostis uniplumis,96.26,Yes,No,Probably,72:00:00,04/04/2024 22:00,97.48,05/04/2024 22:00,96.48,06/04/2024 22:00,96.26,07/04/2024 22:00,,,,,,,,,,,,,,
S2P30,Tribulus terrestris,1.26,Yes,No,Probably,96:00:00,04/04/2024 22:00,1.44,05/04/2024 22:00,1.42,06/04/2024 22:00,1.26,07/04/2024 22:00,1.26,08/04/2024 22:00,,,,,,,,,,,,
S2P30,Beans,1.1,Yes,No,Probably,96:00:00,04/04/2024 22:00,1.19,05/04/2024 22:00,1.26,06/04/2024 22:00,1.11,07/04/2024 22:00,1.1,08/04/2024 22:00,,,,,,,,,,,,
S2P30,Forb,1.41,Yes,No,Probably,48:00:00,04/04/2024 22:00,1.42,05/04/2024 22:00,1.41,06/04/2024 22:00,,,,,,,,,,,,,,,,
S2P30,Forb 2,1.01,Yes,No,Probably,96:00:00,04/04/2024 22:00,1.29,05/04/2024 22:00,1.17,06/04/2024 22:00,1.02,07/04/2024 22:00,1.01,08/04/2024 22:00,,,,,,,,,,,,
S3P01,Stipagrostis uniplumis,39.25,Yes,No,Probably,72:00:00,01/04/2024 22:00,39.39,01/04/2024 22:00,39.25,04/04/2024 22:00,,,,,,,,,,,,,,,,
S3P01,Schmidtia pappophoroides,32.92,Yes,No,Probably,72:00:00,01/04/2024 22:00,33.02,01/04/2024 22:00,32.92,04/04/2024 22:00,,,,,,,,,,,,,,,,
S3P02,Stipagrostis uniplumis,74.5,Yes,No,Probably,72:00:00,01/04/2024 22:00,74.5,01/04/2024 22:00,74.62,04/04/2024 22:00,,,,,,,,,,,,,,,,
S3P02,Schmidtia pappophoroides,6.98,Yes,No,Probably,120:00:00,01/04/2024 22:00,7.12,01/04/2024 22:00,6.99,04/04/2024 22:00,6.98,05/04/2024 22:00,6.99,06/04/2024 22:00,,,,,,,,,,,,
S3P03,Tall Bushman,93.29,Yes,No,Probably,96:00:00,01/04/2024 22:00,93.52,01/04/2024 22:00,93.29,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P04,Tall Bushman,8.64,Yes,No,Probably,96:00:00,01/04/2024 22:00,8.83,01/04/2024 22:00,8.64,04/04/2024 22:00,8.7,05/04/2024 22:00,,,,,,,,,,,,,,
S3P04,Stipagrostis uniplumis,13.51,Yes,No,Probably,120:00:00,01/04/2024 22:00,14.33,01/04/2024 22:00,13.53,04/04/2024 22:00,13.51,05/04/2024 22:00,13.51,06/04/2024 22:00,,,,,,,,,,,,
S3P05,Stipagrostis uniplumis,34.37,Yes,No,Probably,96:00:00,01/04/2024 22:00,34.37,01/04/2024 22:00,34.4,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P05,Eragrostis pallens,56.67,Yes,No,Probably,96:00:00,01/04/2024 22:00,56.74,01/04/2024 22:00,56.67,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P06,Stipagrostis uniplumis,45.04,Yes,No,Probably,96:00:00,01/04/2024 22:00,45.1,01/04/2024 22:00,45.04,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P07,Tall Bushman,113.07,Yes,No,Probably,96:00:00,01/04/2024 22:00,117.57,01/04/2024 22:00,113.07,04/04/2024 22:00,113.46,05/04/2024 22:00,,,,,,,,,,,,,,
S3P08,Stipagrostis uniplumis,78.87,Yes,No,Probably,96:00:00,01/04/2024 22:00,79,01/04/2024 22:00,78.87,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P09,Stipagrostis uniplumis,37.86,Yes,No,Probably,96:00:00,01/04/2024 22:00,37.99,01/04/2024 22:00,37.86,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P10,Tall Bushman,137.52,Yes,No,Probably,96:00:00,01/04/2024 22:00,137.53,01/04/2024 22:00,137.52,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P10,Stipagrostis uniplumis,11.72,Yes,No,Probably,96:00:00,01/04/2024 22:00,11.75,01/04/2024 22:00,11.72,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P11,Stipagrostis uniplumis,15.26,Yes,No,Probably,96:00:00,01/04/2024 22:00,15.33,01/04/2024 22:00,15.6,04/04/2024 22:00,15.26,05/04/2024 22:00,,,,,,,,,,,,,,
S3P11,Schmidtia pappophoroides,73.72,Yes,No,Probably,96:00:00,01/04/2024 22:00,74.24,01/04/2024 22:00,73.72,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P12,Eragrostis pallens,135.94,Yes,No,Probably,96:00:00,01/04/2024 22:00,137.49,01/04/2024 22:00,135.94,04/04/2024 22:00,135.97,05/04/2024 22:00,,,,,,,,,,,,,,
S3P13,Tall Bushman,143.49,Yes,No,Probably,96:00:00,01/04/2024 22:00,143.95,01/04/2024 22:00,143.49,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P13,Stipagrostis uniplumis,44.97,Yes,No,Probably,96:00:00,01/04/2024 22:00,45.35,01/04/2024 22:00,44.97,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P14,Stipagrostis uniplumis,229.93,Yes,No,Probably,96:00:00,01/04/2024 22:00,232.59,01/04/2024 22:00,229.93,04/04/2024 22:00,230.05,05/04/2024 22:00,,,,,,,,,,,,,,
S3P15,Stipagrostis uniplumis,189.88,Yes,No,Probably,96:00:00,01/04/2024 22:00,190.74,01/04/2024 22:00,189.88,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P16,Stipagrostis uniplumis,137.53,Yes,No,Probably,96:00:00,01/04/2024 22:00,138.52,01/04/2024 22:00,137.53,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P17,Tall Bushman,59.16,Yes,No,Probably,96:00:00,01/04/2024 22:00,59.16,01/04/2024 22:00,59.44,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P17,Stipagrostis uniplumis,50.67,Yes,No,Probably,96:00:00,01/04/2024 22:00,50.67,01/04/2024 22:00,51.03,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P18,Stipagrostis uniplumis,4.02,Yes,No,Probably,120:00:00,01/04/2024 22:00,4.71,01/04/2024 22:00,4.02,04/04/2024 22:00,4.02,05/04/2024 22:00,4.02,06/04/2024 22:00,,,,,,,,,,,,
S3P18,Schmidtia kalihariensis,3.92,Yes,No,Probably,96:00:00,01/04/2024 22:00,4.01,01/04/2024 22:00,3.92,04/04/2024 22:00,3.93,05/04/2024 22:00,,,,,,,,,,,,,,
S3P19,Schmidtia pappophoroides,16.34,Yes,No,Probably,96:00:00,01/04/2024 22:00,16.86,01/04/2024 22:00,16.36,04/04/2024 22:00,16.34,05/04/2024 22:00,,,,,,,,,,,,,,
S3P20,Schmidtia pappophoroides,131.64,Yes,No,Probably,96:00:00,01/04/2024 22:00,131.65,01/04/2024 22:00,131.64,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P21,Stipagrostis uniplumis,192.53,Yes,No,Probably,96:00:00,01/04/2024 22:00,194.39,01/04/2024 22:00,192.53,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P22,Stipagrostis uniplumis,8.09,Yes,No,Probably,96:00:00,01/04/2024 22:00,8.38,01/04/2024 22:00,8.09,04/04/2024 22:00,8.13,05/04/2024 22:00,,,,,,,,,,,,,,
S3P22,Schmidtia pappophoroides,60.73,Yes,No,Probably,96:00:00,01/04/2024 22:00,61.04,01/04/2024 22:00,60.73,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P23,Stipagrostis uniplumis,78.97,Yes,No,Probably,120:00:00,01/04/2024 22:00,80.6,01/04/2024 22:00,78.97,04/04/2024 22:00,78.98,05/04/2024 22:00,78.99,06/04/2024 22:00,,,,,,,,,,,,
S3P24,Tall Bushman,119.65,Yes,No,Probably,96:00:00,01/04/2024 22:00,120.22,01/04/2024 22:00,119.65,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P25,Tall Bushman,46.03,Yes,No,Probably,96:00:00,01/04/2024 22:00,46.03,01/04/2024 22:00,46.36,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P25,Stipagrostis uniplumis,34.05,Yes,No,Probably,96:00:00,01/04/2024 22:00,34.3,01/04/2024 22:00,34.05,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P25,Forb 1,8.59,Yes,No,Probably,120:00:00,01/04/2024 22:00,10.47,01/04/2024 22:00,8.61,04/04/2024 22:00,8.59,05/04/2024 22:00,8.6,06/04/2024 22:00,,,,,,,,,,,,
S3P26,Tall Bushman,82.44,Yes,No,Probably,96:00:00,01/04/2024 22:00,82.44,01/04/2024 22:00,82.65,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P26,Stipagrostis uniplumis,16.44,Yes,No,Probably,96:00:00,01/04/2024 22:00,16.44,01/04/2024 22:00,16.48,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P27,Stipagrostis uniplumis,32.65,Yes,No,Probably,96:00:00,01/04/2024 22:00,32.65,01/04/2024 22:00,32.76,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P27,Forb 1,0.21,Yes,No,Probably,120:00:00,01/04/2024 22:00,0.4,01/04/2024 22:00,0.21,04/04/2024 22:00,0.22,05/04/2024 22:00,0.21,06/04/2024 22:00,,,,,,,,,,,,
S3P27,Forb 2,0.9,Yes,No,Probably,120:00:00,01/04/2024 22:00,0.92,01/04/2024 22:00,0.91,04/04/2024 22:00,0.9,05/04/2024 22:00,0.9,06/04/2024 22:00,,,,,,,,,,,,
S3P28,Schmidtia pappophoroides,100.28,Yes,No,Probably,96:00:00,01/04/2024 22:00,100.7,01/04/2024 22:00,100.28,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P29,Tall Bushman,11.17,Yes,No,Probably,96:00:00,01/04/2024 22:00,11.23,01/04/2024 22:00,11.17,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P29,Schmidtia kalihariensis,16.37,Yes,No,Probably,96:00:00,01/04/2024 22:00,16.5,01/04/2024 22:00,16.37,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P30,Stipagrostis uniplumis,40.03,Yes,No,Probably,96:00:00,01/04/2024 22:00,40.19,01/04/2024 22:00,40.03,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
S3P30,Schmidtia pappophoroides,130.54,Yes,No,Probably,96:00:00,01/04/2024 22:00,131.54,01/04/2024 22:00,130.54,04/04/2024 22:00,,05/04/2024 22:00,,,,,,,,,,,,,,
